用户名,评论时间,IP属地,点赞数量,评论内容
小7,2023.09.23,未知,0,现在小学生这么有钱了吗花五六十买个玩具[偷笑R]
芝心的阳阳,2023.07.19,未知,3,评论什么情况啊？是不是网警可以直接联系 抓了
Orange,2023.06.10,未知,2,好多种类
妙蛙种子,2023.05.31,未知,1,UC游戏
用户已注销,2023.05.29,未知,0,
用户已注销,2023.05.28,未知,0,
zzz7hez,2023.05.22,未知,3,
?帥氣的小哥哥?,2023.05.21,未知,5,是的
用户已注销,2023.05.20,未知,1,
琦琦,2023.05.18,未知,3,[偷笑R]
K,2023.05.18,未知,2,吓死了，抽口压压惊[哭惹R]
小红薯63282FB2,2023.05.06,未知,8,你好
小红薯61146030,2023.04.27,未知,3,[笑哭R]
用户已注销,2023.04.20,未知,1,[偷笑R]
小福泥,2023.04.20,未知,5,这种劣质香精味在我这里还不如烟草味好闻[失望R]
少女与猫?,2023.04.18,未知,4,反正我不抽烟
小开心,2023.04.18,未知,5,@弦. 你看 还不如我抽烤烟的了
Vicky,2023.04.18,未知,1,@不瘦到150不改名
自营水果店,2024.02.09,山东,4,[向右R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][可R][有R][可R][有R][可R][有R][可R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][勾引R]
自营水果店,2024.02.09,山东,4,[向右R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][可R][有R][可R][有R][可R][有R][可R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][可R][有R][勾引R]
水果奶茶,2024.02.08,山东,5,[有R]自[有R]家[有R]果[有R]园[有R]水[有R]果[有R]味[有R]奶[有R]茶[有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][偷笑R][偷笑R][偷笑R]
水果奶茶,2024.02.07,山东,6,水果味全都有[有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][草莓R][草莓R][草莓R][草莓R][草莓R][草莓R][草莓R][草莓R][桃子R][桃子R][桃子R][桃子R][桃子R][桃子R][桃子R][葡萄R][葡萄R][葡萄R][葡萄R][葡萄R][葡萄R][草莓R][桃子R][桃子R][桃子R][葡萄R][桃子R][飞吻R][桃子R][草莓R]
水果奶茶,2024.02.07,山东,5,水果味全都有[有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][有R][草莓R][草莓R][草莓R][草莓R][草莓R][草莓R][草莓R][草莓R][桃子R][桃子R][桃子R][桃子R][桃子R][桃子R][桃子R][葡萄R][葡萄R][葡萄R][葡萄R][葡萄R][葡萄R]
何安数码,2024.02.04,广西,0,要的来，过年优惠
???随果～发源D,2024.01.20,河南,0,[樱花R][葡萄R]吃饭了吗您们[草莓R]歪瑞古德奈斯嘎嘎奇[飞吻R][笑哭R]↖??水果齐，这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？
小红薯65A9F4F3,2024.01.19,河南,0,???????????这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？这还不明显吗？王子公主们
小红薯6595730D,2024.01.18,河南,0,??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
小屿,2024.01.16,浙江,10,哪里有[哭惹R]
小红薯65A4EFD1,2024.01.15,浙江,4,等个有缘人
一手果,2024.01.15,山东,0,靠谱???????
?葡萄椰果家园,2024.01.14,广东,9,五代，！，????????
小航雾化,2023.12.31,未知,2,来找我要啥有啥
小熊雾化,2023.12.30,未知,1,需要联系
小熊雾化,2023.12.30,未知,1,需要联系
小熊雾化,2023.12.30,未知,0,需要联系
H的水果摊子?,2023.12.28,未知,0,蹲客[吧唧R]
H、,2023.12.21,未知,1,水果味全，需要dd
曹曹,2023.12.21,未知,1,这里有
Ohhhhhh,2023.12.11,未知,0,我这里?
小红薯6574B3A6,2023.12.09,未知,0,需要的来 家里囤了好多货
雪猪猪Z,2023.01.09,未知,87,宝子们，出去住酒店，很多细节哟[飞吻R]
阿青和小桐,2023.01.09,未知,2848,别出去了，家里待着吧
似是故人来。,2023.01.09,未知,1739,其他的我就不说了，那个吹风机真能有细菌？你使用的时候，内部温度多高，我想知道什么细菌可以在这种高温下活下来。
twittzz,2023.01.09,未知,1278,我住酒店是为了方便，不方便我住酒店干嘛
okok,2023.01.09,未知,430,干脆给人家打扫个卫生得了
圆圆,2023.03.06,未知,16,一次性拖鞋千万别用，他们都是上一个住客用完回收，重新洗洗，在包装，跟新的一样
momo,2023.06.22,未知,20,马桶那个……那个圈的地方为了不接触我可以悬空上，但是真的害怕裤子接触到马桶下面的地方[哭惹R][哭惹R]
Para樱落,2023.03.09,未知,15,该不会真有人单纯船一次性拖鞋吗，不应该是把一次性拖鞋放进拖鞋里再穿吗，直接穿一次性拖鞋不嫌薄吗
Silicon_t,2023.02.22,未知,3,热水壶我一般是水开以后，给里面放一桶买的小瓶矿泉水隔水加热，然后喝[笑哭R][笑哭R][笑哭R]
热爱生活享受当下,2023.03.14,未知,4,一次性拖鞋摔倒率是99%[得意R]我们酒店人自己开店的从来不用，因为酒店里面摔到了是要赔偿的[偷笑R]
和你。,2024.01.29,广西,0,@小杨（河北崇礼可约课）
加布说,2024.01.23,重庆,0,@乌克兰小乳猪
苏沫然,2024.01.22,广西,0,[哭惹R][哭惹R]我这两天穿内衣裤睡维也纳酒店希望没事
ppxcidoyoung21,2024.01.08,未知,0,累不累？？
柑橘栀子花?,2024.01.06,未知,0,那我得把家搬过去 太麻烦了
救救我即评,2023.12.29,未知,2,什么都带我不如不出门。。
懒慢慢,2023.12.20,未知,0,那你说给酒店花洒换个头就能用了嘛
小红薯62E53C1C,2023.12.16,未知,0,没必要[微笑R]脏就脏吧[黑薯问号R]除了带睡衣这个我支持
我的好天气,2023.11.25,未知,0,带吹风机有点道理
王老三,2023.11.07,未知,0,@小红薯64F9B546
句号,2023.11.05,未知,1,可以自己带小电锅煮东西吃吗
三杯两盏咸酒,2023.10.29,未知,2,住个酒店除了床都得自带是吧
Seri,2023.10.23,未知,1,@?
哒哒,2023.10.11,未知,0,@番邦进贡小黄瓜 @柿芝炸鸡
Bluebella,2023.10.11,未知,1,这么累已经不想出去了[笑哭R]
流浪带娃（申请博士ing,2023.10.06,未知,0,水壶烧水烧开了都，烧过什么也都烧开了啊…那不就是相当于自动清洁了吗?如果只是心里觉得膈应就不要出门住酒店了，毕竟你都不知道之前住的人在房间哪个角落干过什么对吧
kiis,2023.09.16,未知,0,@不如山中做妖怪
。,2023.09.09,未知,0,酒店矿泉水能喝吗
威雪,2023.09.04,未知,4,做过酒店的告诉你 带一次性包装的可用 其它重复利用的尽量别用 哪怕五星酒店 被子一般一客一换 但有条件带个一次性床单 洗发水沐浴露五星还好点小地方用的比较差 热水壶杯子尽量别用了
Fairy,2023.08.28,未知,0,@白茶相依
空空的蓝色,2023.08.23,未知,5,水壶我是放入小苏打粉煮两次再用，我发现自己越来越神经病了，之前住酒店不觉得有这么多问题，第二天走的时候洗个澡就可以了。我现在住酒店，疑神疑鬼，怀疑摄像头，带了一次性床单，但是那个不好套，也不好用，于是穿长袖睡衣睡，还怕花洒，不卫生，酒精到处喷，总感觉比医院还脏，医院都是病人，有强制的消毒制度，约束，但是普通的酒店民宿是没有这个制度的。出门一趟真够累[笑哭R]
落铃,2023.08.21,未知,0,@强风吹拂
Q.,2023.08.08,未知,0,刷牙膏没事吗
班波儿霸,2023.08.05,未知,0,吹风机还要带啊[汗颜R]
momo,2023.07.19,未知,3,吹风机 我是真不想带 [失望R]
balala,2023.07.18,未知,0,@仲夏夜
灿灿的大宝贝,2023.07.11,未知,0,@眨宝今天笑了吗
橘生淮南,2023.06.29,未知,0,@Derrick
xxxxxiiiii,2023.06.27,未知,1,@Diego
选择性社恐,2023.06.24,未知,7,[偷笑R]不管怎样，还是注意一点吧。家里再乱，哪有酒店脏。逼不得已，谁爱住酒店呢？别住一晚，却得那种病患好几万去治。[doge]被传染了还要被造谣，是自己乱搞。
谈笑枫笙@ ?,2023.06.12,未知,0,这纯属是给神仙预备的，人不配[偷笑R]
零点的cuckoo,2023.06.10,未知,2,前晚住的酒店，洗完澡用浴巾擦了头发然后发现浴巾一角上有屎黄色的污渍，刷牙杯杯口又黏又滑，心大的我还继续用了[汗颜R]最后悔的是还没有拍照保留证据
笨蛋美女,2023.06.04,未知,1,@我有很多头发
Bi8bo,2023.06.03,未知,0,@gin
小红薯646B632E,2023.06.02,未知,0,那个一次性拖鞋能穿去洗澡吗
zerorhero,2023.06.01,未知,2,我就是觉得出去住酒店，觉得很恶心，一般都不出门[笑哭R]
雾岛听风,2023.05.27,未知,2,我住酒店得阴蚤了[哭惹R]
町町综艺,2023.05.13,未知,1,好好看看[扶墙R]@蔡徐坤ikun站
?,2023.05.09,未知,0,看到吹风机时候真的不能忍了，还住啥酒店，直接买个帐篷住算了[偷笑R]
?,2023.05.08,未知,1,@故辞
陈陈不沉.,2023.05.07,未知,1,@?
忆小橘,2023.04.24,未知,0,@嘟嘟
其实我想取忧伤的名字,2023.04.24,未知,1,看到吹风机的时候  我服气了
思無邪，念起靈,2023.04.23,未知,7,我的天，这得带多少东西，我就一个背包，就准备四天三夜
闲游日志,2023.04.23,未知,0,泡澡袋滑得很
于文文de粉丝,2023.04.22,未知,0,酒店水壶容易被那个没素质的撒尿，烧一百遍水再用也恶心[捂脸R][捂脸R]
今天很困,2023.04.21,未知,0,@Emiya. 你看
momo,2023.04.19,未知,0,@鱼头汤ting
左手倒影右手年华,2023.04.19,未知,0,吹风机别人吹内裤和自己吹内裤感觉一样吗？当然是不一样的
Bobbie闫,2023.04.19,未知,0,@会飞的应急食物
憂鬱的烏龜盪鞦韆,2023.04.17,未知,4,我一般帶兩片八四泡騰片，住店的時候燒一壺水，把泡騰片用礦泉水瓶沏開把馬桶洗臉池，花灑，拖鞋都用消毒水淋一遍，然後自己帶旅行睡袋隔離被子
我系猫C9,2023.04.11,未知,0,一般自驾游比较多，外出一定要带的是戴森吹风机和崔佧的定制枕头。
摆摊不摆烂,2023.04.10,未知,0,@刘瑶?（教穿搭）
纯白协奏曲,2023.04.09,未知,0,@比小狗还晚睡
锅锅瘦身记,2023.04.07,未知,1,穿一次性拖鞋怎么洗澡啊
火爆易拉罐,2023.04.07,未知,0,@别怕我来啦 吹风机确实没必要
吃一口肉。,2023.04.02,未知,0,@爱吃肉肉。
何屠文,2023.03.29,未知,4,开水壶 就是用来给浴缸 马桶圈 和塑料拖鞋消毒的，这都不知道吗
心慌慌,2023.03.29,未知,6,哈哈哈嗝，这个作者不知道那个一次性拖鞋的正确用法其实是套在塑料拖鞋里面穿的，还一本正经不建议[捂脸R][捂脸R]
困包Cici.,2023.03.27,未知,0,@皮皮虾
呆呆薯条,2023.03.25,未知,0,吹风机。。。
奶奶常说要早睡,2023.03.24,未知,0,@摸鲜堡女王??
百变小妍,2023.03.13,未知,0,住个好点儿的酒店吧
Zzooo-,2023.03.11,未知,0,河南拔智齿@雪猪猪AN
Nuyoah?,2023.03.08,未知,1,@阿離有画说
硬薅羊毛卷,2023.03.07,未知,0,@?
浮世清欢,2023.03.07,未知,1,酒店前台，上次有个住宿客人问我们家有没有塑料拖鞋，我说没有只有一次性的，然后他跟我说他住过很多大酒店都有塑料的，我们这边不行[笑哭R]
^-^?,2023.03.06,未知,1,@Trouvaille [拥抱R]
关一下月亮鸭,2023.03.06,未知,1,连锁酒店呢
米奇,2023.03.06,未知,0,想问一下住酒店如果要换自己的床单被罩还要把他的撤下来吗还是直接套
宠物上门铲屎喂堰（十堰）,2023.03.05,未知,1,别的我都不说什么 吹风机忍不了
小白菜,2023.03.04,未知,0,有次临时赶车住了个钟点房，然后穿了酒店的塑料拖鞋，于是就得了脚气……臭的要命……开了药泡了好久才治好……
贩卖温柔,2023.03.03,未知,2,其实有的酒店一次性拖鞋不是一次性的[微笑R]
桃兔不桃,2023.03.02,未知,1,@牵小欣
火锅咕噜gulu,2023.03.02,未知,0,@辉辉
萝卜真haha,2023.03.02,未知,0,@爱猫人士
清野待经年,2023.03.02,未知,0,@星宇
悲伤螺蛳粉,2023.03.01,未知,0,@-
悲伤螺蛳粉,2023.03.01,未知,0,@
梦露露露露,2023.02.28,未知,1,@RoninBB
漾,2023.02.27,未知,0,请问穿睡衣怎么做？
?,2023.02.26,未知,0,@? 洗头发的
lucky,2023.02.26,未知,0,一次性拖鞋也不干净，我之前暑假工在一家还挺豪华的度假酒店干水洗的，都把一次性拖鞋和毛巾一起在洗衣机里洗，然后烘干再打包[笑哭R]
奶油草莓,2023.02.26,未知,0,在浴缸里游泳和酒店公共泳池里游泳哪个比较脏呀？
Lucky,2023.02.25,未知,0,@Flipped 去酒店还是注意点叭
2,2023.02.22,未知,0,@-
Zoe,2023.02.22,未知,0,@CCC
星星和你一样,2023.02.21,未知,0,@Babesofat
?,2023.02.21,未知,0,@该用户已注册.
晊,2023.02.20,未知,0,@小鬼别掉队 [暗中观察R][暗中观察R][暗中观察R]
一个达不刘,2023.02.19,未知,2,那个热水壶，我以前看到别人用来煮内裤，从那之后，我再也没用过酒店的热水壶
大远讲美食,2023.02.16,未知,0,你们会不会一次性拖鞋[偷笑R]
发大财,2023.02.16,未知,2,酒店的吹风机太差了吹完就是金毛狮王，还是自己带戴森的吹风机
华夫冰激凌,2023.02.16,未知,0,吹风机那个就算了吧
dbskaofh,2023.02.15,未知,0,其实高级酒店的一次性拖鞋也不一定是一次性 是会回收然后高温消毒重复利用的[微笑R][微笑R]
xinx,2023.02.13,未知,0,@GK 浴缸能不能直接用呀
清次浪,2023.02.13,未知,0,@笑    看  人    间  百    态
荏苒,2023.02.13,未知,0,没错 我住酒店就是这样[笑哭R]
小羊咩咩,2023.02.11,未知,1,@我
招财是美短,2023.02.10,未知,0,我和我老婆去酒店第一件事就是找凉拖鞋，你还建议不用，洗澡也不怕摔[笑哭R]
大熊维尼_,2023.02.10,未知,0,@@泪落弦音
lily李小姐9,2023.02.10,未知,0,我住酒店是为了方便，都带了我去住啥[笑哭R]
不会后仰跳投,2023.02.10,未知,0,@boibi
小楠很努力,2023.02.10,未知,0,@白sir 记着记着
yoyo,2023.02.10,未知,0,当是提高免疫力的一次磨练呢
朱哥哥,2023.02.09,未知,0,我一般都不用酒店里的
哈哈哈哈哈哈哈,2023.02.09,未知,7,酒店还有浴缸？我因工作去过不少地方，这么多酒店，也没见过浴缸[哭惹R]
彤彤彤彤彤,2023.02.09,未知,2,@困飞的麻球
别烦我。,2023.02.09,未知,0,@星光海w_
多皮香妃,2023.02.09,未知,0,@cici
秃头啊楠,2023.02.08,未知,0,@全能弟弟
一碗小米粥,2023.02.08,未知,0,@德拉科正牌女友
柠檬薄荷糖,2023.02.08,未知,0,想问问大家有没有买过一次性被套呀[抓狂R]我在网上看的感觉都好薄啊[哭惹R]有没有买过的姐妹提提建议呀
?思念,2023.02.08,未知,2,我都出去住酒店了我还在意这么多？
陽,2023.02.08,未知,0,@日落前私奔 放心做
xx,2023.02.07,未知,0,@?.
木头,2023.02.07,未知,1,亲爱的，吹风机我没想到！[哭惹R]！@Katharine Ma
涵涵,2023.02.07,未知,1,@甜柚.
无所谓的一切,2023.02.07,未知,2,住酒店就是为了方便，啥都是自己带，还方便个鬼?
翎,2023.02.07,未知,0,@今天吃什么
小c,2023.02.07,未知,0,@一只蠢兔子 [微笑R]
牛旺旺,2023.02.07,未知,2,住自己的行李箱里得了
大硕宝,2023.02.07,未知,1,@孤心
nene,2023.02.06,未知,0,@峰先
Vincent Yee,2023.02.06,未知,3,你去买个房车吧 磨磨唧唧
?芯,2023.02.06,未知,0,烧水壶我买了小熊那款折叠壶携带方便又好用又不会多占地方
宁次饭了吗,2023.02.06,未知,0,@Flint
柠檬汽水,2023.02.05,未知,0,@一只黑糯米
吃吃不长肉,2023.02.05,未知,0,怎么做的话，以后出去玩就得带个行李箱，
?,2023.02.05,未知,0,@秋
Gentle.,2023.02.05,未知,0,@会说晚安m
惠民安心购,2023.02.04,未知,0,一次性的太滑了[笑哭R]
小熊要天天开心,2023.02.04,未知,0,@小忤要快乐
龙,2023.02.04,未知,11,我住酒店都是自己带东西，毛巾，拖鞋，洗漱用品，被子，洗衣机，电视机，住之前先开紫外线消毒灯两个小时，夏天带冰风扇，冬天带暖风扇。
Baileys,2023.02.04,未知,16,首先我出去一般住四、五星，除非旅游旺季订不到房才住三星或快捷酒店（只住过书香门第感觉还行），浴缸从来不泡只淋浴；拖鞋从没见过酒店有塑料拖不都是一次性的吗？热水壶我要烧水喝的，我还是喜欢泡茶喝热水；杯子我也用了，水壶都用了还膈应杯子？马桶垫不用的！消毒湿巾擦一圈，接下来一两天都归我用不用垫的那么麻烦；酒店毛巾只用擦手巾和地垫，其他都用自己的；在家睡觉怎么穿在酒店也怎么穿，没有luo 睡的习惯，总归穿了睡衣睡的哇；洗护自己带少量试用装，因为酒店的就算用了好的品牌产品，但达不到我特定发质要求；吹风机当然用酒店的，出去旅游行李箱还带吹风机累死我
CheChe_Cherry,2023.02.03,未知,1,@Haskins
you病,2023.02.02,未知,0,@捏捏牙牙的脸蛋
cos45,2023.02.02,未知,0,@SHUN. @CCC 啧还得自己带洗发露
猪皮恶霸,2023.02.02,未知,1,@?
来日方长,2023.02.01,未知,45,亲，这边建议不要住酒店
Ea,2023.02.01,未知,21,床单被套倒可以放心，只要住高要求酒店集团都会统一标准清洗消毒，用工业洗衣机加大量漂白液消毒水，所以细菌不用过于担心。倒是如毛浴巾这类小物件，即使是连锁五星酒店都不能百分百保证干净，谁知道保洁阿姨有没有拿它顺手擦马桶？
小烊.,2023.02.01,未知,0,@我要吃香菜、
，，，,2023.01.31,未知,1,@江小白
南风,2023.01.31,未知,0,@月亮
一只扑火的肥鹅?,2023.01.31,未知,0,毛巾拖鞋我会自己带，以前比较挑剔会带自己的枕头套，现在经常在酒店过夜我就阔出去了！浴缸我会自己刷一下才泡，目测不干净就不泡。我不喝热水，热水器用不着；吹风机这些不贴身的用品我没那么讲究；酒店我们都订凯悦，沐浴露洗发水还行；有热水器的旅馆一般都会有纸杯，我不喝热水就会拿那个杯子漱口。现在航空公司对行李重量和大小管制很严，为了不被多收费我选择将就了[笑哭R][笑哭R]。
poooh,2023.01.31,未知,0,不懂就问：为啥要自己带吹风机？
吃饱饱睡觉觉,2023.01.30,未知,1,拉倒吧 我出去住酒店住好的 为的就是卫生和服务 如果住酒店什么都自己带 不如在家呆着
?向日葵的微笑,2023.01.30,未知,2,所以到底那些傻叉为啥住酒店就住酒店，非要不干些人事？我第一次听朋友说酒店水壶会有人用来煮袜子和内裤，我都惊呆了[石化R]
一点都不菜菜,2023.01.30,未知,1,怎么说呢，我一般都是烧热水，然后拿烫水把浴缸马桶冲一遍，然后就心理上觉得干净一些了，浴巾不敢用（因为蛮多do会垫下面，所以不敢）睡觉穿着睡衣，喝水喝矿泉水[笑哭R]因为真的会有人拿热水壶煮袜子……
木兮,2023.01.30,未知,0,要钱[哭惹R][哭惹R]，那些东西
坠落月球,2023.01.29,未知,0,[扶墙R]@?
梅GaGa的日常,2023.01.29,未知,0,@汪崇圳 [笑哭R]
Jing,2023.01.29,未知,15,你说的我都做到了 我还要带一次性枕套
等待连接........,2023.01.29,未知,1,热水壶怎么样都不能用，煮什么的都有，就是没人煮开水[偷笑R]
Cool ?,2023.01.29,未知,1,那酒店热水壶到底用不用啊[笑哭R]
Cool ?,2023.01.29,未知,1,人家都收拾完卫生了，穷讲究，就别人埋汰，你干净是的
小红薯65C4F3E7,2023.01.29,未知,0,浴缸从来不泡，烧水壶自带折叠款，水杯自带，浴巾自带，马桶和床上用品男人用不着那么在意
波妞妹妹（卖蟹版）,2023.01.29,未知,0,现在酒店那种白色很薄的一次性拖鞋没有了吧？都是灰色厚点的那种，那种是一次性还是循环使用的？上面写着带走要付30
?,2023.01.29,未知,2,你要不要看看你在说什么？干脆带上一套房在身上吧[吃瓜R]
春暖花开??,2023.01.28,未知,0,那么讲究还住啥酒店[偷笑R]家里待着那也不去
愚者,2023.01.28,未知,0,@TiAmo
一团趣_aair,2023.01.28,未知,0,@冷咖啡一再续杯
铁盒的序,2023.01.28,未知,1,@是瑾儿哦
A~宝.,2023.01.28,未知,1,所以我为什么住酒店
哈哈h,2023.01.27,未知,0,昨天才去泡温泉 感觉不能做的全做了[哭惹R]
浮生若梦,2023.01.27,未知,2,泡澡袋慎用。。。很滑！
Choo,2023.01.27,未知,0,除了吹风机，其他的都很好做到
南极企鹅在这里?,2023.01.27,未知,0,没有办法啊，我的箱子装不下毛巾水壶吹风机…
QX.,2023.01.26,未知,1,@爱喝酸奶的啊橘 哎呀 我们会不会得脚气了[石化R]
锅一炒胡萝卜丝,2023.01.26,未知,0,@Obito欧毕头  你懂不懂？有没有懂的？？懂不懂？？懂吗？？懂？？
L,2023.01.26,未知,0,带床单被罩裸睡的有咩？
小孟,2023.01.26,未知,1,还有浴室里洗澡的那个管管[笑哭R]
食咗糖未,2023.01.26,未知,0,那个泡澡袋我会担心万一穿孔了咋办[哭惹R]
小江哥,2023.01.26,未知,1,5星以上的酒店还好吧！浴缸套膜真没必要，丢两颗二氧化氯洗一下就行了！
赤夏鸣声,2023.01.26,未知,1,怎么说呢 大部分其实都是心理洁癖，自己觉得不舒服，其实对身体健康不会有太大影响。 我就稍微注意那种。[笑哭R]
不知火侣,2023.01.26,未知,1,都是废话，直接回家别住了求你
米粒,2023.01.26,未知,0,额，，，马桶垫……烧水烧两次那个热水不能往坐垫倒，消毒
Sparse瑶.,2023.01.26,未知,1,@?孤酒゜?
用户已注销,2023.01.26,未知,0,@Mamba Forever
用户已注销,2023.01.25,未知,0,事实证明多赚点钱住好点才是王道，至少给我的6小件或者环保瓶都是有封条或者密封的
今天也要开心,2023.01.25,未知,0,我只想说，酒店的一次性拖鞋也是回收再使用的，内幕
?鹏哥?,2023.01.25,未知,1,不用住了
阳光下的微笑,2023.01.25,未知,0,拖鞋每换一个租户，拖鞋也会被工作人员换掉吧
小狮子PPT（工作版）,2023.01.24,未知,2,可以[偷笑R]买一次性床单 嘎噶裸睡
橙汁（备婚版）,2023.01.24,未知,1,@番茄炒蛋
左柚,2023.01.24,未知,1,@Extrapes 这住个酒店，真是太不方便了[哭惹R]
已登出,2023.01.24,未知,0,@Cray
獠牙,2023.01.24,未知,14,别住酒店了真的，到哪出差直接买个房吧
坚强的大脸?,2023.01.24,未知,0,@好名字
老公.,2023.01.24,未知,1,其他我能理解这个吹风机我就不理解了兄弟
了了,2023.01.24,未知,1,吹风机不赞同，其他都赞同
豆汁味小熊软糖,2023.01.23,未知,1,@三又木
夏夏,2023.01.23,未知,1,关键是 吹风机还自己带[笑哭R]
A9,2023.01.23,未知,0,搬个房子出门得了
柠汐,2023.01.23,未知,2,除了吹风机用酒店的，其他真的都是自己带
抱抱?,2023.01.23,未知,1,重复使用的拖鞋确实不要用，马桶垫也应该带着，毛巾的话大点的酒店都是高温消毒的，别擦私密部位就好，水壶可以煮两遍，再烫一下茶杯，不过茶杯是真的不建议用呢
臭?蛋的少爷猫?生,2023.01.23,未知,0,我会自带吹风机 因为酒店的有的风小的可怕[笑哭R]洗漱全自带 还会带个大的被套 钻进去再盖上酒店被子 [偷笑R]
哇哇,2023.01.23,未知,0,毛巾浴巾水壶杯子确实要注意，普通住宿淋浴就好，马桶用开水烫几遍，应该还好。
鬼泣,2023.01.23,未知,0,不要出门了吧
王美丽,2023.01.23,未知,0,还有必要住酒店？
momo,2023.01.23,未知,1,泡澡袋其实很危险，因为它很容易打滑
灵感大王来巡山,2023.01.23,未知,1,我建议还是把家安个轱辘带着跑吧，住啥旅馆。
七天内可修改一次名字,2023.01.23,未知,0,吹风机就凑合用了 用完洗个手
小红薯655105B5,2023.01.23,未知,0,哪有用塑料袋泡澡的 干脆别泡 小气
玛卡巴卡,2023.01.23,未知,0,@赵本蕙 睡家里[笑哭R]
Po,2023.01.23,未知,0,我去住酒店會帶隔脏睡袋，自己拖鞋，毛巾...所以本身好小外遊，沒辦法自己有潔癖
PPT之神陶吉吉,2023.01.22,未知,0,批过场多[飞吻R]
明明,2023.01.22,未知,0,吹风机我觉得可以用，自己带多累啊
小M,2023.01.22,未知,2,所以尽量选择好一点再好一点的酒店，带着消毒喷雾去，第一件事就是替家人和自己把能消毒的地方消毒过去。
不啦不啦,2023.01.21,未知,1,那个包装拖鞋是套在塑料拖鞋上的[害羞R]
?木材搬运工 JJ,2023.01.21,未知,0,@爱吃老婆饼
清泉,2023.01.21,未知,1,有的可以 有的没必要 [偷笑R]
好运连连,2023.01.21,未知,2,我出去旅游带的东西本来就多 你还让我带个笨重的吹风机 ？
失信人缪斯,2023.01.20,未知,0,@铃兰一年级新生
山鸟与鱼,2023.01.20,未知,0,出差碰到最差的一个宾馆 水龙头的水沉淀下来都是土[笑哭R][笑哭R]
Cherry Lee,2023.01.20,未知,0,眼不见为净 该用用
和七七一起看海啦,2023.01.20,未知,1,@温宁
yy,2023.01.20,未知,0,@?
叫我喵喵眯,2023.01.19,未知,0,@心寒如冰 以后可不能果睡了哟，不卫生[萌萌哒R]
。。。。,2023.01.19,未知,1,我出门住酒店就是图一个方便这不行那不行我还是住家睡大觉好了
mevillG,2023.01.17,未知,1,@better
谢立阳,2023.01.17,未知,0,浴缸不用套 要怎么洗好一点
奶呼呼?,2023.01.17,未知,0,一次性拖鞋洗澡[笑哭R]
小梅老师梅烦恼,2023.01.17,未知,7,上次住酒店有个纠结的地方 塑料拖鞋不敢穿感觉脏  一次性的也不敢穿着洗 怕摔  有地垫也感觉脏 不敢踩 真的好排斥住酒店
青也民宿,2023.01.16,未知,26,那个毛巾和浴巾。。民宿人真实想说你说的是对的。客户素质堪忧，浴巾毛巾用来干啥的都有。我们提示客户不可以这样，客户dui：我住别家酒店都可以，为啥你家不可以擦鞋？[微笑R][微笑R][微笑R]，还会给你差评。
泡泡不吃糖,2023.01.16,未知,2,@彭于晏
郑青君,2023.01.16,未知,0,@Christmas~ [赞R]
土叔叔wow^_^,2023.01.16,未知,2,去酒店还穿睡衣？多影响活动啊[偷笑R]
兔子?,2023.01.16,未知,0,茶杯茶壶千万别用
。。。,2023.01.16,未知,0,拖鞋，水壶水杯浴缸肯定用不了，其他还好，一次性拖鞋即使不是一次性的也比塑料的看着干净
。。。,2023.01.16,未知,0,洗发水确实去商店买过袋的来洗，虽然也可能劣质，但是感觉比一些酒店的好些，但是吹风机这个，真的感觉没啥必要
电击小子子?,2023.01.16,未知,49,拉倒吧，热水壶多少遍都不建议使用，我很了解这个行业
懒癌瑶柱,2023.01.15,未知,0,马桶圈先用热水壶烧热水浇一圈消消毒
阿西吧,2023.01.15,未知,1,我觉得希尔顿不至于吧[笑哭R]
萬事顺意-,2023.01.15,未知,0,@郑经饮廖 [皱眉R]
无尽纶回,2023.01.15,未知,9,出去旅行还得带吹风机[哭惹R]，带这么多东西，那我怕不是旅行而是搬家
纯纯的白糖,2023.01.15,未知,0,吓
厌蠢。,2023.01.15,未知,2,一切的不方便都是因为没钱住高档酒店[偷笑R]
ViVi安,2023.01.15,未知,0,干脆露营吧[哭惹R][哭惹R][哭惹R][哭惹R]
清风与楠木.,2023.01.15,未知,0,@ff
